车次,出发站,到达站,出发时间,到达时间,历时,商务座/特等座,一等座,二等座,高级软卧,软卧,动卧,硬卧,软座,硬座,无座,其他
65000T837903,广州东,汕头,24:00,24:00,99:59,IS_TIME_NOT_BUY,99:59,24:00,24:00,JRQ,GGQ,OTQ,GGQ,T8379,65000T837903,列车停运
62000K665108,岳阳,汕头,22:11,05:15,07:04,0,0,0,有,0,0,有,0,0,0,0
